run_id,periodo,nic_util_kwh,nvc_util_kwh,aqs_util_kwh,cons_aquecimento_kwh,vetor_aquecimento,cons_arrefecimento_kwh,cons_aqs_kwh,vetor_aqs,cons_iluminacao_kwh,cons_equipamentos_kwh,pv_producao_kwh,pv_autoconsumo_kwh,pv_exportacao_kwh,bateria_carga_kwh,bateria_descarga_kwh,rede_importacao_kwh,gas_kwh
RB6-ATU-BAU-comPV,ANO,2288.82,204.78,2466.3,2073.61,electricidade,96.14,3251.24,gas,335.31,819.77,4064.36,1555.03,2259.39,0.0,0.0,1786.68,3251.24
RB6-ATU-BAU-semPV,ANO,2288.82,204.78,2466.3,2073.61,electricidade,96.14,3251.24,gas,335.31,819.77,0.0,0.0,0.0,0.0,0.0,3324.83,3251.24
RB6-245-2050-BAU-comPV,ANO,1611.41,727.0,2363.75,1453.5,electricidade,320.85,3119.62,gas,335.31,814.41,4060.7,1639.54,2165.41,0.0,0.0,1312.75,3119.62
RB6-245-2050-BAU-semPV,ANO,1611.41,727.0,2363.75,1453.5,electricidade,320.85,3119.62,gas,335.31,814.41,0.0,0.0,0.0,0.0,0.0,2924.07,3119.62
RB6-370-2050-BAU-comPV,ANO,1532.45,801.58,2350.09,1380.72,electricidade,351.75,3102.1,gas,335.31,814.24,4055.79,1654.97,2143.76,0.0,0.0,1256.79,3102.1
RB6-370-2050-BAU-semPV,ANO,1532.45,801.58,2350.09,1380.72,electricidade,351.75,3102.1,gas,335.31,814.24,0.0,0.0,0.0,0.0,0.0,2882.02,3102.1
RB6-370-2080-BAU-comPV,ANO,1163.37,1337.36,2261.3,1041.54,electricidade,568.43,2987.94,gas,335.31,820.91,4102.56,1733.0,2104.09,0.0,0.0,1066.13,2987.94
RB6-370-2080-BAU-semPV,ANO,1163.37,1337.36,2261.3,1041.54,electricidade,568.43,2987.94,gas,335.31,820.91,0.0,0.0,0.0,0.0,0.0,2766.19,2987.94
RB6-ATU-MS-comPV,ANO,2288.82,204.78,2466.3,500.31,electricidade,55.79,1194.86,electricidade,335.31,868.82,4064.36,2039.58,1738.24,0.0,0.0,932.31,0.0
RB6-ATU-MS-semPV,ANO,2288.82,204.78,2466.3,500.31,electricidade,55.79,1194.86,electricidade,335.31,868.82,0.0,0.0,0.0,0.0,0.0,2955.09,0.0
RB6-245-2050-MS-comPV,ANO,1611.41,727.0,2363.75,346.83,electricidade,186.56,1093.23,electricidade,335.31,864.87,4060.7,2027.97,1748.5,0.0,0.0,827.12,0.0
RB6-245-2050-MS-semPV,ANO,1611.41,727.0,2363.75,346.83,electricidade,186.56,1093.23,electricidade,335.31,864.87,0.0,0.0,0.0,0.0,0.0,2826.8,0.0
RB6-370-2050-MS-comPV,ANO,1532.45,801.58,2350.09,327.31,electricidade,204.54,1077.44,electricidade,335.31,864.45,4055.79,2027.19,1744.51,0.0,0.0,811.75,0.0
RB6-370-2050-MS-semPV,ANO,1532.45,801.58,2350.09,327.31,electricidade,204.54,1077.44,electricidade,335.31,864.45,0.0,0.0,0.0,0.0,0.0,2809.05,0.0
RB6-370-2080-MS-comPV,ANO,1163.37,1337.36,2261.3,240.38,electricidade,330.69,985.1,electricidade,335.31,862.87,4102.56,2030.91,1785.48,0.0,0.0,764.5,0.0
RB6-370-2080-MS-semPV,ANO,1163.37,1337.36,2261.3,240.38,electricidade,330.69,985.1,electricidade,335.31,862.87,0.0,0.0,0.0,0.0,0.0,2754.35,0.0
RB6-ATU-BC-comPV,ANO,2288.82,204.78,2466.3,747.84,electricidade,63.48,869.86,electricidade,335.31,914.78,4064.36,1893.64,1884.53,0.0,0.0,1054.43,0.0
RB6-ATU-BC-semPV,ANO,2288.82,204.78,2466.3,747.84,electricidade,63.48,869.86,electricidade,335.31,914.78,0.0,0.0,0.0,0.0,0.0,2931.27,0.0
RB6-245-2050-BC-comPV,ANO,1611.41,727.0,2363.75,520.08,electricidade,224.39,813.38,electricidade,335.31,917.38,4060.7,1910.08,1865.96,0.0,0.0,928.77,0.0
RB6-245-2050-BC-semPV,ANO,1611.41,727.0,2363.75,520.08,electricidade,224.39,813.38,electricidade,335.31,917.38,0.0,0.0,0.0,0.0,0.0,2810.54,0.0
RB6-370-2050-BC-comPV,ANO,1532.45,801.58,2350.09,493.45,electricidade,246.97,804.6,electricidade,335.31,917.55,4055.79,1911.98,1859.27,0.0,0.0,915.77,0.0
RB6-370-2050-BC-semPV,ANO,1532.45,801.58,2350.09,493.45,electricidade,246.97,804.6,electricidade,335.31,917.55,0.0,0.0,0.0,0.0,0.0,2797.88,0.0
RB6-370-2080-BC-comPV,ANO,1163.37,1337.36,2261.3,370.31,electricidade,406.73,757.84,electricidade,335.31,918.44,4102.56,1925.22,1890.49,0.0,0.0,904.49,0.0
RB6-370-2080-BC-semPV,ANO,1163.37,1337.36,2261.3,370.31,electricidade,406.73,757.84,electricidade,335.31,918.44,0.0,0.0,0.0,0.0,0.0,2788.63,0.0
